rank,country,overall,government_pillar,technology_sector_pillar,data_infrastructure_pillar
1,United States of America,87.03,89.26,80.94,90.9
2,Singapore,84.25,90.96,68.65,93.14
3,United Kingdom of Great Britain and Northern Ireland,78.88,84.47,66.57,85.62
4,Canada,78.18,85.48,61.69,87.35
5,Australia,76.45,86.18,56.26,86.9
6,Austria,72.84,78.37,56.56,83.57
7,Belgium,72.69,81.26,56.23,80.57
8,Brazil,65.89,74.51,44.78,78.37
9,Argentina,56.4,64.65,37.09,67.47
10,Andorra,54.44,47.34,41.06,74.91
11,Bahrain,54.33,45.62,37.61,79.76
12,Bangladesh,47.12,58.52,26.26,56.59
13,Albania,45.47,47.93,28.36,60.11
14,Armenia,44.51,37.97,32.91,62.66
15,Benin,42.97,59.92,24.3,44.68
16,Bahamas,42.03,31.49,30.4,64.21
17,Antigua and Barbuda,41.61,30.68,30.66,63.49
18,Barbados,41.11,32.12,31.69,59.51
19,Azerbaijan,39.92,35.56,29.43,54.78
20,Belarus,39.24,27.54,34.57,55.61
21,Algeria,39.06,31.68,33.26,52.24
22,Belize,37.59,26.76,30.51,55.49
23,Bosnia and Herzegovina,37.02,26.74,29.25,55.06
24,Bolivia (Plurinational State of),33.08,22.43,22.92,53.89
25,Angola,26.91,19.73,15.87,45.13
26,Afghanistan,16.92,8.27,22.46,20.05
